Label,Alabama_Count,Alaska_Count,Arizona_Count,Arkansas_Count,California_Count,Colorado_Count,Connecticut_Count,Delaware_Count,District of Columbia_Count,Florida_Count,Georgia_Count,Hawaii_Count,Idaho_Count,Illinois_Count,Indiana_Count,Iowa_Count,Kansas_Count,Kentucky_Count,Louisiana_Count,Maine_Count,Maryland_Count,Massachusetts_Count,Michigan_Count,Minnesota_Count,Mississippi_Count,Missouri_Count,Montana_Count,Nebraska_Count,Nevada_Count,New Hampshire_Count,New Jersey_Count,New Mexico_Count,New York_Count,North Carolina_Count,North Dakota_Count,Ohio_Count,Oklahoma_Count,Oregon_Count,Pennsylvania_Count,Rhode Island_Count,South Carolina_Count,South Dakota_Count,Tennessee_Count,Texas_Count,Utah_Count,Vermont_Count,Virginia_Count,Washington_Count,West Virginia_Count,Wisconsin_Count,Wyoming_Count,Puerto Rico_Count
Total:,"1,145,988","171,451","1,604,017","686,960","9,686,735","1,356,158","827,282","218,233","209,245","4,660,956","2,596,009","318,332","390,629","3,036,571","1,554,098","703,390","658,164","1,024,808","1,114,054","284,247","1,445,888","1,669,962","2,265,857","1,272,536","707,332","1,393,765","227,365","432,721","707,423","298,149","2,100,680","470,244","4,799,180","2,457,927","168,998","2,657,129","908,348","966,206","2,888,159","255,137","1,166,121","186,271","1,582,664","6,994,872","775,337","138,607","2,034,362","1,748,909","395,793","1,302,943","125,353","794,095"
Women who had a birth in the past 12 months:,"59,028","9,961","88,721","41,016","468,957","70,949","33,995","9,580","9,007","231,116","141,334","19,672","24,723","153,400","77,269","41,142","38,940","53,444","58,623","14,945","74,868","76,690","117,528","70,957","38,333","80,273","13,055","29,620","37,802","13,862","98,578","28,338","219,214","127,760","10,777","151,068","59,955","48,087","143,272","11,713","66,875","12,915","76,574","395,121","51,456","5,096","100,976","97,643","18,881","67,283","7,002","22,160"
        Now married (including separated and spouse absent):,"33,729","7,877","56,007","25,275","318,341","52,458","23,763","6,113","5,198","139,974","85,236","14,515","18,635","99,720","48,296","30,204","28,900","34,937","31,221","10,430","50,533","50,305","75,681","54,090","18,634","50,434","9,693","21,619","23,410","9,093","72,466","14,804","151,709","81,674","7,757","95,618","38,035","33,208","96,185","8,203","37,708","8,848","46,672","270,131","44,193","3,543","71,924","70,071","10,808","46,219","4,982","7,551"
            Less than high school graduate,"2,631",646,"6,746","1,107","37,505","3,111","1,722",940,94,"10,976","7,786",803,717,"6,418","4,274","2,784","2,375","2,971","1,841",256,"2,586","1,992","6,810","4,276","1,775","2,608",831,"2,579","3,429",286,"3,449","1,302","13,488","6,327",337,"6,014","3,024","2,762","7,695",343,"2,706",784,"3,153","31,665","2,537",126,"4,453","6,198",669,"2,895",109,290
            High school graduate (includes equivalency),"6,941","1,748","9,782","7,241","57,047","9,166","3,049","1,386",690,"28,809","17,652","2,615","4,140","13,357","8,458","4,389","3,795","6,553","5,878","1,289","5,411","6,294","11,313","5,505","3,320","8,887","2,385","2,740","6,069","1,255","11,469","2,537","25,616","12,276",894,"18,490","8,290","5,653","17,480",864,"6,934","1,446","9,141","56,111","7,823",557,"9,857","11,283","3,090","7,048","1,074",970
            Some college or associate's degree,"11,066","3,132","17,135","7,525","89,084","13,599","5,181","1,426",434,"42,400","23,490","6,456","7,299","24,581","14,826","9,833","9,292","11,119","9,311","2,808","11,492","8,977","23,012","15,039","6,572","15,852","3,516","6,221","7,325","2,377","14,952","5,452","33,221","22,442","2,137","26,492","12,956","12,352","21,299","1,888","12,079","3,411","15,163","75,942","15,261","1,049","18,092","20,622","3,894","13,342","1,922","2,112"
            Bachelor's degree,"9,159","1,718","14,738","5,471","82,304","16,331","7,075","1,314","1,200","36,685","23,513","3,102","4,936","31,960","14,349","8,159","9,184","8,020","10,035","3,586","16,075","17,427","21,232","18,690","4,533","14,423","2,037","6,369","4,378","2,494","22,728","2,713","40,679","24,148","3,498","24,765","9,883","6,963","26,294","2,995","9,603","2,099","11,866","68,593","14,447","1,215","22,842","19,285","1,482","16,187","1,414","3,386"
            Graduate or professional degree,"3,932",633,"7,606","3,931","52,401","10,251","6,736","1,047","2,780","21,104","12,795","1,539","1,543","23,404","6,389","5,039","4,254","6,274","4,156","2,491","14,969","15,615","13,314","10,580","2,434","8,664",924,"3,710","2,209","2,681","19,868","2,800","38,705","16,481",891,"19,857","3,882","5,478","23,417","2,113","6,386","1,108","7,349","37,820","4,125",596,"16,680","12,683","1,673","6,747",463,793
"        Unmarried (never married, widowed and divorced):","25,299","2,084","32,714","15,741","150,616","18,491","10,232","3,467","3,809","91,142","56,098","5,157","6,088","53,680","28,973","10,938","10,040","18,507","27,402","4,515","24,335","26,385","41,847","16,867","19,699","29,839","3,362","8,001","14,392","4,769","26,112","13,534","67,505","46,086","3,020","55,450","21,920","14,879","47,087","3,510","29,167","4,067","29,902","124,990","7,263","1,553","29,052","27,572","8,073","21,064","2,020","14,609"
            Less than high school graduate,"5,747",222,"5,876","3,616","29,467","3,062","2,115",823,"1,066","15,322","8,751",446,"1,301","9,222","5,427","1,941","1,206","2,558","6,852",567,"5,529","3,179","7,901","2,860","3,294","4,080",719,"1,238","3,953",665,"3,186","3,005","11,395","9,162",812,"10,324","4,401","2,907","6,449","1,206","5,391",803,"5,023","25,002","1,611",35,"3,198","5,481","1,548","2,055",79,"1,254"
            High school graduate (includes equivalency),"9,615",939,"12,021","5,505","50,925","6,486","4,042","1,149","1,214","31,996","20,048","2,203","2,838","18,622","11,855","4,202","3,058","6,888","8,767","1,632","8,158","9,385","14,748","5,145","4,494","10,803",849,"3,478","4,758","1,904","8,613","4,861","21,337","12,680",788,"21,565","8,816","5,385","19,477","1,457","12,114","1,152","11,395","39,479","2,730",697,"10,230","8,046","2,941","9,528","1,258","4,852"
            Some college or associate's degree,"7,115",895,"11,336","5,528","51,508","6,865","2,914","1,441",643,"33,021","20,652","1,972","1,904","20,726","9,311","3,869","4,876","8,085","9,573","2,120","7,906","9,089","16,020","6,384","10,601","13,005","1,448","2,731","4,612","1,283","8,783","5,196","21,971","19,216","1,035","18,801","6,775","5,621","16,169",523,"8,670","1,984","11,311","50,252","2,208",670,"11,284","10,808","2,595","7,696",654,"5,726"
            Bachelor's degree,"1,997",28,"2,747",903,"14,425","1,327",844,54,538,"9,010","5,021",270,0,"3,651","2,179",664,636,600,"1,804",196,"1,730","3,096","2,096","1,951",960,"1,796",239,384,809,815,"3,666",276,"9,195","4,199",228,"3,415","1,681",594,"3,540",324,"2,025",41,"1,727","7,576",504,81,"2,781","2,482",858,"1,356",29,"2,242"
            Graduate or professional degree,825,0,734,189,"4,291",751,317,0,348,"1,793","1,626",266,45,"1,459",201,262,264,376,406,0,"1,012","1,636","1,082",527,350,155,107,170,260,102,"1,864",196,"3,607",829,157,"1,345",247,372,"1,452",0,967,87,446,"2,681",210,70,"1,559",755,131,429,0,535
Women who did not have a birth in the past 12 months:,"1,086,960","161,490","1,515,296","645,944","9,217,778","1,285,209","793,287","208,653","200,238","4,429,840","2,454,675","298,660","365,906","2,883,171","1,476,829","662,248","619,224","971,364","1,055,431","269,302","1,371,020","1,593,272","2,148,329","1,201,579","668,999","1,313,492","214,310","403,101","669,621","284,287","2,002,102","441,906","4,579,966","2,330,167","158,221","2,506,061","848,393","918,119","2,744,887","243,424","1,099,246","173,356","1,506,090","6,599,751","723,881","133,511","1,933,386","1,651,266","376,912","1,235,660","118,351","771,935"
        Now married (including separated and spouse absent):,"449,802","75,594","617,691","297,973","3,853,343","582,818","302,950","78,497","50,529","1,773,877","1,023,462","133,749","180,768","1,186,902","646,035","298,691","294,915","443,760","401,417","114,009","558,385","618,835","871,226","536,201","267,666","566,867","97,442","189,670","281,973","119,947","863,097","166,405","1,758,933","1,019,622","74,126","1,034,269","390,378","401,996","1,115,100","88,465","449,351","79,946","667,185","3,010,833","368,963","54,937","866,900","766,766","167,800","521,853","58,124","219,630"
            Less than high school graduate,"40,777","4,194","79,574","28,493","589,626","46,685","15,775","6,563","3,971","148,306","94,150","6,111","12,074","99,638","54,059","17,441","24,667","34,686","34,065","3,654","40,019","36,038","48,366","29,161","22,999","37,572","4,357","14,717","36,321","3,268","55,839","22,243","179,804","87,823","2,671","62,909","36,001","35,960","64,676","6,762","32,171","3,384","49,584","441,613","23,397","2,478","58,301","59,763","10,451","25,780","2,462","15,828"
            High school graduate (includes equivalency),"98,827","13,951","118,772","77,800","712,698","96,761","51,756","16,436","4,854","395,910","205,739","29,848","39,515","220,086","138,366","51,007","46,378","100,941","103,782","26,322","89,347","97,669","162,085","71,123","58,651","116,825","20,906","28,042","72,035","20,320","160,491","36,810","349,680","176,331","11,121","230,324","96,942","68,466","239,882","20,029","102,939","14,817","167,825","630,052","72,377","11,363","149,436","126,846","54,363","90,991","13,098","49,773"
            Some college or associate's degree,"149,914","28,553","205,361","97,440","1,043,806","162,041","71,744","21,785","5,949","560,914","310,669","41,622","71,521","322,625","211,321","104,740","95,786","156,508","120,183","34,193","137,736","136,500","297,587","166,208","103,431","182,788","31,997","62,604","89,954","36,010","187,268","58,143","416,095","337,701","24,484","324,496","129,210","124,810","295,060","23,491","145,796","29,381","208,621","884,042","142,950","14,364","242,047","249,854","57,111","173,387","22,699","62,247"
            Bachelor's degree,"102,714","18,703","135,976","59,620","926,872","177,895","85,321","17,843","12,232","444,696","247,492","37,373","42,012","324,432","167,149","83,568","81,180","88,711","93,448","31,368","150,977","177,551","223,101","172,166","50,331","140,523","28,034","55,897","55,241","37,454","270,206","28,553","422,018","265,677","26,348","255,762","87,783","106,619","302,601","22,394","104,760","22,309","154,375","699,474","96,367","16,341","240,664","203,053","28,468","153,392","13,183","67,582"
            Graduate or professional degree,"57,570","10,193","78,008","34,620","580,341","99,436","78,354","15,870","23,523","224,051","165,412","18,795","15,646","220,121","75,140","41,935","46,904","62,914","49,939","18,472","140,306","171,077","140,087","97,543","32,254","89,159","12,148","28,410","28,422","22,895","189,293","20,656","391,336","152,090","9,502","160,778","40,442","66,141","212,881","15,789","63,685","10,055","86,780","355,652","33,872","10,391","176,452","127,250","17,407","78,303","6,682","24,200"
"        Unmarried (never married, widowed and divorced):","637,158","85,896","897,605","347,971","5,364,435","702,391","490,337","130,156","149,709","2,655,963","1,431,213","164,911","185,138","1,696,269","830,794","363,557","324,309","527,604","654,014","155,293","812,635","974,437","1,277,103","665,378","401,333","746,625","116,868","213,431","387,648","164,340","1,139,005","275,501","2,821,033","1,310,545","84,095","1,471,792","458,015","516,123","1,629,787","154,959","649,895","93,410","838,905","3,588,918","354,918","78,574","1,066,486","884,500","209,112","713,807","60,227","552,305"
            Less than high school graduate,"151,020","20,208","222,889","85,666","1,181,915","152,727","99,251","25,164","13,954","583,857","345,069","28,254","49,929","365,996","203,870","77,926","77,879","124,585","158,977","29,502","169,623","185,282","284,474","144,097","96,370","169,060","28,088","50,127","93,358","33,264","250,486","67,938","566,478","309,926","15,818","337,178","115,054","112,243","334,016","27,544","147,054","24,730","188,181","929,251","95,482","13,781","224,104","195,808","51,165","151,786","15,047","99,628"
            High school graduate (includes equivalency),"159,684","19,851","205,977","87,333","1,058,992","130,139","103,576","36,028","22,609","612,712","330,009","46,361","48,213","350,982","206,132","70,712","62,377","130,368","166,854","38,453","166,282","176,191","285,931","121,604","95,947","161,399","27,967","40,750","100,051","35,552","239,686","62,085","528,458","257,630","16,435","359,697","108,623","98,773","420,752","39,781","159,087","20,109","202,402","784,341","77,121","18,440","210,903","173,920","58,132","158,894","13,210","117,508"
            Some college or associate's degree,"228,483","30,922","306,343","121,620","1,820,019","212,754","156,888","42,251","34,576","906,236","456,524","53,017","59,816","557,107","274,499","140,722","121,662","185,604","218,275","53,016","255,412","295,052","465,477","236,060","151,901","264,368","38,078","80,413","130,965","56,154","326,549","100,766","846,187","460,756","32,428","501,730","164,689","182,944","496,749","52,286","229,319","31,844","281,172","1,188,002","125,098","25,240","349,206","304,601","67,657","257,527","20,657","197,250"
            Bachelor's degree,"70,725","10,066","119,694","38,958","952,125","151,491","90,915","17,093","41,946","407,416","207,352","27,243","20,246","292,881","112,434","57,551","46,076","62,481","77,943","25,275","140,854","215,906","173,442","125,170","39,401","109,691","17,375","31,447","45,236","27,341","231,924","30,682","601,862","203,705","14,585","194,657","53,640","87,519","269,065","25,769","81,789","13,298","115,708","508,369","43,310","15,356","188,329","157,684","21,981","108,059","8,054","101,978"
            Graduate or professional degree,"27,246","4,849","42,702","14,394","351,384","55,280","39,707","9,620","36,624","145,742","92,259","10,036","6,934","129,303","33,859","16,646","16,315","24,566","31,965","9,047","80,464","102,006","67,779","38,447","17,714","42,107","5,360","10,694","18,038","12,029","90,360","14,030","278,048","78,528","4,829","78,530","16,009","34,644","109,205","9,579","32,646","3,429","51,442","178,955","13,907","5,757","93,944","52,487","10,177","37,541","3,259","35,941"