Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population 18 to 24 years,"468,319","235,692","232,627","82,518","48,263","34,255","669,583","345,832","323,751","284,441","144,726","139,715","3,943,137","2,037,703","1,905,434","527,949","277,962","249,987","352,843","181,858","170,985","89,098","44,998","44,100","81,506","37,209","44,297","1,774,002","912,229","861,773","1,028,679","523,024","505,655","134,483","75,365","59,118","156,767","79,751","77,016","1,237,872","628,615","609,257","676,373","344,413","331,960","320,642","165,524","155,118","302,928","160,097","142,831","425,719","218,474","207,245","459,284","235,246","224,038","112,229","58,050","54,179","556,183","283,318","272,865","700,584","350,262","350,322","986,405","502,730","483,675","505,761","256,708","249,053","311,989","156,653","155,336","593,894","302,843","291,051","100,393","53,454","46,939","192,977","98,599","94,378","254,123","129,724","124,399","130,063","66,388","63,675","792,764","408,466","384,298","208,145","106,747","101,398","1,941,151","974,775","966,376","992,108","522,805","469,303","93,597","49,443","44,154","1,087,145","551,057","536,088","392,378","203,924","188,454","363,364","183,929","179,435","1,214,756","618,005","596,751","114,340","56,648","57,692","487,006","250,386","236,620","85,681","44,388","41,293","633,012","320,102","312,910","2,787,469","1,434,799","1,352,670","341,637","172,958","168,679","67,228","34,843","32,385","827,861","426,987","400,874","669,067","348,769","320,298","164,334","85,937","78,397","560,301","283,999","276,302","57,860","30,355","27,505","354,263","178,653","175,610"
    Less than high school graduate,"70,992","40,806","30,186","12,427","7,815","4,612","114,187","67,044","47,143","36,309","20,270","16,039","490,779","296,563","194,216","70,618","40,123","30,495","37,981","24,913","13,068","12,574","7,435","5,139","5,031","3,371","1,660","290,921","172,078","118,843","168,766","98,934","69,832","8,519","3,963","4,556","21,822","12,383","9,439","154,211","89,022","65,189","107,912","62,122","45,790","34,913","21,093","13,820","37,791","22,631","15,160","60,373","36,773","23,600","76,591","44,624","31,967","13,424","7,166","6,258","61,026","36,143","24,883","71,420","44,116","27,304","128,219","77,060","51,159","66,536","37,740","28,796","49,158","29,765","19,393","82,094","47,271","34,823","16,220","9,098","7,122","22,584","13,556","9,028","47,331","28,460","18,871","14,427","7,891","6,536","92,194","54,099","38,095","37,642","22,360","15,282","231,056","133,457","97,599","141,265","82,452","58,813","9,624","5,855","3,769","149,417","83,752","65,665","66,254","37,332","28,922","55,106","34,263","20,843","150,500","87,002","63,498","11,114","7,439","3,675","62,383","34,945","27,438","12,173","6,974","5,199","66,248","39,104","27,144","445,677","257,721","187,956","43,390","25,436","17,954","5,619","3,358","2,261","84,270","49,034","35,236","92,652","52,829","39,823","18,997","10,875","8,122","62,206","35,345","26,861","8,953","5,052","3,901","34,163","20,386","13,777"
    High school graduate (includes equivalency),"149,612","83,861","65,751","31,416","18,484","12,932","203,312","113,257","90,055","90,153","51,576","38,577","1,166,501","658,547","507,954","157,730","91,640","66,090","97,565","55,832","41,733","27,340","14,332","13,008","19,290","9,281","10,009","526,907","298,451","228,456","327,755","180,073","147,682","51,611","33,464","18,147","53,986","30,618","23,368","357,249","195,374","161,875","211,407","117,441","93,966","83,647","47,408","36,239","89,828","51,348","38,480","148,269","84,471","63,798","150,433","85,243","65,190","34,849","18,256","16,593","159,573","89,925","69,648","192,573","107,784","84,789","284,916","159,798","125,118","138,996","79,931","59,065","90,111","48,735","41,376","178,672","100,904","77,768","35,650","19,743","15,907","50,520","28,686","21,834","88,796","48,839","39,957","41,363","24,361","17,002","215,678","119,962","95,716","62,173","35,479","26,694","508,223","283,316","224,907","305,851","181,300","124,551","24,590","14,720","9,870","355,266","200,145","155,121","127,197","72,567","54,630","109,704","59,524","50,180","398,081","220,722","177,359","32,621","17,240","15,381","164,465","95,608","68,857","25,843","14,397","11,446","230,156","126,325","103,831","896,395","498,979","397,416","105,883","60,594","45,289","17,715","9,464","8,251","252,719","144,733","107,986","209,996","119,047","90,949","61,194","37,448","23,746","176,145","100,221","75,924","19,757","12,019","7,738","100,920","54,569","46,351"
    Some college or associate's degree,"212,684","97,919","114,765","33,882","19,865","14,017","302,777","145,132","157,645","137,505","64,632","72,873","1,904,349","921,067","983,282","240,847","123,405","117,442","165,295","78,571","86,724","39,399","18,622","20,777","37,684","17,871","19,813","800,421","380,008","420,413","449,485","210,367","239,118","63,452","34,014","29,438","72,765","32,852","39,913","571,238","276,086","295,152","293,630","137,353","156,277","170,254","84,026","86,228","148,277","74,436","73,841","185,156","82,564","102,592","198,157","90,286","107,871","53,201","27,213","25,988","258,068","123,717","134,351","315,353","144,534","170,819","477,521","224,130","253,391","235,159","112,508","122,651","153,465","69,978","83,487","276,496","131,859","144,637","42,521","22,733","19,788","95,740","46,649","49,091","105,235","48,389","56,846","58,383","27,181","31,202","364,141","180,401","183,740","98,641","45,193","53,448","896,102","430,675","465,427","451,025","220,657","230,368","47,163","23,458","23,705","476,502","222,728","253,774","169,139","81,984","87,155","163,286","75,175","88,111","523,401","251,830","271,571","55,722","26,086","29,636","218,004","103,398","114,606","39,371","20,098","19,273","278,756","131,925","146,831","1,224,498","587,296","637,202","169,008","79,592","89,416","34,136","17,429","16,707","392,124","194,283","197,841","296,796","145,617","151,179","71,040","32,979","38,061","259,581","122,933","136,648","26,466","12,258","14,208","193,763","92,867","100,896"
    Bachelor's degree or higher,"35,031","13,106","21,925","4,793","2,099","2,694","49,307","20,399","28,908","20,474","8,248","12,226","381,508","161,526","219,982","58,754","22,794","35,960","52,002","22,542","29,460","9,785","4,609","5,176","19,501","6,686","12,815","155,753","61,692","94,061","82,673","33,650","49,023","10,901","3,924","6,977","8,194","3,898","4,296","155,174","68,133","87,041","63,424","27,497","35,927","31,828","12,997","18,831","27,032","11,682","15,350","31,921","14,666","17,255","34,103","15,093","19,010","10,755","5,415","5,340","77,516","33,533","43,983","121,238","53,828","67,410","95,749","41,742","54,007","65,070","26,529","38,541","19,255","8,175","11,080","56,632","22,809","33,823","6,002","1,880","4,122","24,133","9,708","14,425","12,761","4,036","8,725","15,890","6,955","8,935","120,751","54,004","66,747","9,689","3,715","5,974","305,770","127,327","178,443","93,967","38,396","55,571","12,220","5,410","6,810","105,960","44,432","61,528","29,788","12,041","17,747","35,268","14,967","20,301","142,774","58,451","84,323","14,883","5,883","9,000","42,154","16,435","25,719","8,294","2,919","5,375","57,852","22,748","35,104","220,899","90,803","130,096","23,356","7,336","16,020","9,758","4,592","5,166","98,748","38,937","59,811","69,623","31,276","38,347","13,103","4,635","8,468","62,369","25,500","36,869","2,684","1,026","1,658","25,417","10,831","14,586"
Population 25 years and over,"3,282,252","1,551,470","1,730,782","469,523","244,336","225,187","4,536,954","2,215,766","2,321,188","1,987,819","954,538","1,033,281","26,085,263","12,749,155","13,336,108","3,671,853","1,822,253","1,849,600","2,474,718","1,179,027","1,295,691","652,636","308,965","343,671","472,884","222,420","250,464","14,394,281","6,891,352","7,502,929","6,683,767","3,172,727","3,511,040","985,914","490,765","495,149","1,065,982","525,809","540,173","8,661,938","4,173,053","4,488,885","4,363,573","2,104,205","2,259,368","2,074,504","1,011,619","1,062,885","1,888,479","921,827","966,652","2,988,790","1,439,832","1,548,958","3,095,255","1,476,206","1,619,049","961,240","460,849","500,391","4,102,486","1,940,440","2,162,046","4,706,644","2,237,524","2,469,120","6,728,347","3,245,398","3,482,949","3,700,935","1,814,928","1,886,007","1,952,337","922,537","1,029,800","4,097,212","1,968,517","2,128,695","706,329","350,130","356,199","1,232,583","603,512","629,071","1,968,167","977,605","990,562","937,214","456,520","480,694","6,166,384","2,943,930","3,222,454","1,377,548","672,669","704,879","13,641,473","6,482,688","7,158,785","6,762,644","3,201,620","3,561,024","492,017","251,615","240,402","7,896,470","3,787,141","4,109,329","2,557,863","1,241,561","1,316,302","2,804,461","1,368,524","1,435,937","8,895,727","4,265,968","4,629,759","730,083","346,756","383,327","3,319,832","1,573,721","1,746,111","563,108","278,842","284,266","4,473,487","2,134,872","2,338,615","17,472,861","8,516,061","8,956,800","1,741,949","864,509","877,440","438,654","211,965","226,689","5,685,318","2,742,819","2,942,499","4,889,314","2,412,583","2,476,731","1,300,347","630,913","669,434","3,918,997","1,921,412","1,997,585","388,747","193,940","194,807","2,382,526","1,098,998","1,283,528"
Less than 9th grade,"158,830","85,356","73,474","12,121","6,295","5,826","271,316","131,711","139,605","105,945","51,615","54,330","2,582,757","1,234,380","1,348,377","135,573","67,869","67,704","104,772","51,816","52,956","24,692","12,587","12,105","20,227","10,217","10,010","750,053","364,351","385,702","332,116","174,022","158,094","39,945","17,184","22,761","39,730","21,795","17,935","456,567","223,594","232,973","164,941","87,174","77,767","66,506","34,198","32,308","71,948","37,242","34,706","183,951","95,517","88,434","159,933","89,077","70,856","27,176","13,053","14,123","173,874","87,636","86,238","213,496","100,599","112,897","201,139","101,960","99,179","112,193","55,766","56,427","112,812","61,007","51,805","145,571","74,187","71,384","14,391","7,720","6,671","47,858","23,932","23,926","125,701","61,560","64,141","18,249","10,413","7,836","319,454","156,115","163,339","92,820","47,827","44,993","903,295","417,586","485,709","340,573","183,224","157,349","18,142","9,126","9,016","233,766","114,838","118,928","108,956","57,930","51,026","103,304","52,124","51,180","297,088","144,213","152,875","40,319","19,668","20,651","147,012","76,063","70,949","19,422","9,998","9,424","237,285","120,422","116,863","1,559,568","784,041","775,527","49,949","24,232","25,717","12,303","6,652","5,651","256,445","134,611","121,834","191,853","95,884","95,969","58,050","30,940","27,110","116,279","59,117","57,162","7,773","4,125","3,648","391,558","190,290","201,268"
"9th to 12th grade, no diploma","338,052","167,474","170,578","22,495","11,211","11,284","359,657","188,285","171,372","184,126","96,621","87,505","2,060,753","1,081,063","979,690","188,280","100,329","87,951","137,496","71,031","66,465","47,663","26,240","21,423","28,022","13,868","14,154","1,031,199","548,641","482,558","593,620","304,637","288,983","50,050","26,474","23,576","66,804","34,202","32,602","535,035","281,679","253,356","349,195","171,218","177,977","105,159","57,307","47,852","111,806","59,193","52,613","260,013","136,009","124,004","316,837","169,874","146,963","52,423","30,647","21,776","251,792","130,248","121,544","245,853","128,797","117,056","461,761","240,172","221,589","155,113","85,457","69,656","209,997","112,707","97,290","308,053","161,184","146,869","31,182","16,509","14,673","62,768","34,148","28,620","157,660","82,220","75,440","46,392","25,539","20,853","355,305","180,139","175,166","118,788","62,021","56,767","1,012,572","516,566","496,006","568,846","299,558","269,288","18,826","11,698","7,128","579,508","289,488","290,020","215,702","107,610","108,092","176,281","90,952","85,329","620,062","316,074","303,988","49,725","24,513","25,212","306,843","159,949","146,894","30,620","17,338","13,282","386,520","202,481","184,039","1,511,574","774,112","737,462","97,817","52,414","45,403","24,166","14,737","9,429","373,316","193,314","180,002","256,378","136,619","119,759","124,065","64,837","59,228","219,265","120,004","99,261","22,652","11,039","11,613","210,220","114,884","95,336"
    High school graduate (includes equivalency),"1,018,063","504,353","513,710","128,052","73,672","54,380","1,110,871","549,720","561,151","678,452","342,205","336,247","5,430,081","2,716,755","2,713,326","796,984","407,358","389,626","678,916","337,500","341,416","194,810","95,001","99,809","82,181","34,623","47,558","4,201,879","2,014,906","2,186,973","1,879,302","924,481","954,821","267,568","139,877","127,691","292,667","147,956","144,711","2,314,192","1,144,988","1,169,204","1,496,775","747,772","749,003","664,912","342,907","322,005","501,278","256,104","245,174","1,002,541","511,496","491,045","1,056,533","522,979","533,554","314,332","157,860","156,472","1,029,325","503,981","525,344","1,184,423","594,411","590,012","1,979,472","978,330","1,001,142","941,170","484,574","456,596","605,790","303,036","302,754","1,269,953","632,539","637,414","222,399","113,896","108,503","331,868","168,187","163,681","549,151","278,906","270,245","267,078","131,975","135,103","1,757,377","842,097","915,280","369,807","186,919","182,888","3,615,023","1,775,320","1,839,703","1,785,510","891,569","893,941","135,670","72,195","63,475","2,664,823","1,321,937","1,342,886","808,375","408,574","399,801","654,930","327,185","327,745","3,174,802","1,548,184","1,626,618","204,295","99,196","105,099","977,099","473,390","503,709","175,958","93,438","82,520","1,482,137","725,899","756,238","4,425,654","2,203,084","2,222,570","421,822","203,229","218,593","127,127","67,576","59,551","1,399,157","692,753","706,404","1,127,649","575,103","552,546","529,290","268,007","261,283","1,223,628","622,022","601,606","111,830","60,492","51,338","647,581","323,832","323,749"
"    Some college, no degree","707,979","325,301","382,678","129,326","66,243","63,083","1,155,555","554,696","600,859","450,886","215,514","235,372","5,603,279","2,703,218","2,900,061","809,037","403,198","405,839","417,520","197,488","220,032","130,986","60,561","70,425","60,107","27,739","32,368","2,935,247","1,380,725","1,554,522","1,382,608","635,567","747,041","213,206","108,070","105,136","287,585","133,518","154,067","1,804,602","865,414","939,188","900,400","425,311","475,089","444,608","212,014","232,594","446,076","213,904","232,172","611,050","289,476","321,574","654,211","300,765","353,446","184,421","86,366","98,055","789,382","367,504","421,878","748,705","344,311","404,394","1,593,413","767,010","826,403","794,499","385,394","409,105","438,004","201,617","236,387","915,960","437,429","478,531","161,387","78,197","83,190","292,746","139,458","153,288","512,364","253,002","259,362","179,983","86,423","93,560","1,024,098","488,754","535,344","325,356","159,762","165,594","2,177,053","1,063,656","1,113,397","1,452,845","668,249","784,596","111,721","59,874","51,847","1,623,927","779,854","844,073","606,070","289,043","317,027","722,848","349,535","373,313","1,423,274","677,923","745,351","134,773","65,041","69,732","685,917","314,808","371,109","119,929","56,122","63,807","915,965","425,615","490,350","3,816,471","1,801,827","2,014,644","458,040","215,934","242,106","75,070","33,840","41,230","1,127,401","530,771","596,630","1,171,141","558,537","612,604","244,509","116,084","128,425","835,967","405,454","430,513","102,246","49,074","53,172","314,431","156,826","157,605"
    Associate's degree,"266,452","102,785","163,667","38,113","19,072","19,041","382,106","169,877","212,229","135,029","50,244","84,785","1,992,703","890,702","1,102,001","301,203","138,424","162,779","187,970","71,860","116,110","52,556","20,160","32,396","14,002","5,677","8,325","1,383,565","594,730","788,835","496,008","204,537","291,471","105,951","50,548","55,403","102,284","46,165","56,119","698,002","299,881","398,121","364,142","156,923","207,219","236,728","103,257","133,471","158,308","67,042","91,266","235,061","89,633","145,428","189,683","73,911","115,772","93,335","40,716","52,619","266,499","106,044","160,455","362,478","143,939","218,539","622,089","258,808","363,281","413,953","191,658","222,295","179,135","68,130","111,005","316,815","135,856","180,959","60,796","29,855","30,941","125,055","60,949","64,106","159,610","72,127","87,483","91,199","39,558","51,641","392,077","163,107","228,970","106,315","48,951","57,364","1,155,067","497,766","657,301","623,813","249,372","374,441","64,255","31,939","32,316","679,330","271,268","408,062","188,756","78,241","110,515","245,431","112,481","132,950","739,478","317,811","421,667","62,153","24,846","37,307","312,720","127,658","185,062","62,294","29,315","32,979","300,500","120,214","180,286","1,204,220","551,955","652,265","159,609","71,459","88,150","37,916","16,312","21,604","426,955","175,696","251,259","471,400","217,113","254,287","90,019","31,694","58,325","411,400","193,215","218,185","42,212","18,662","23,550","228,508","91,027","137,481"
    Bachelor's degree,"504,626","237,072","267,554","87,869","42,968","44,901","788,933","384,998","403,935","278,975","128,621","150,354","5,285,754","2,557,226","2,728,528","909,032","443,990","465,042","535,933","259,511","276,422","117,581","56,692","60,889","112,629","57,480","55,149","2,620,339","1,261,281","1,359,058","1,244,449","588,800","655,649","205,033","98,340","106,693","189,566","94,857","94,709","1,757,697","841,167","916,530","697,223","330,742","366,481","377,035","173,517","203,518","384,495","186,866","197,629","406,865","190,172","216,693","470,739","211,175","259,564","187,513","85,315","102,198","866,352","399,923","466,429","1,086,715","518,129","568,586","1,145,546","548,704","596,842","847,584","400,657","446,927","253,036","114,104","138,932","706,922","331,241","375,681","144,135","67,913","76,222","244,556","114,430","130,126","304,948","152,109","152,839","205,513","101,068","104,445","1,437,307","678,975","758,332","198,116","89,433","108,683","2,727,078","1,304,455","1,422,623","1,277,412","581,822","695,590","105,625","47,257","58,368","1,329,009","637,089","691,920","421,765","200,845","220,920","566,244","271,814","294,430","1,611,499","777,894","833,605","141,131","68,109","73,022","575,843","281,378","294,465","110,562","51,415","59,147","719,980","337,665","382,315","3,266,266","1,549,377","1,716,889","368,302","182,840","185,462","97,824","43,026","54,798","1,209,217","565,156","644,061","1,059,707","513,738","545,969","152,256","71,995","80,261","742,544","348,822","393,722","67,108","33,105","34,003","424,255","156,077","268,178"
    Graduate or professional degree,"288,250","129,129","159,121","51,547","24,875","26,672","468,516","236,479","232,037","154,406","69,718","84,688","3,129,936","1,565,811","1,564,125","531,744","261,085","270,659","412,111","189,821","222,290","84,348","37,724","46,624","155,716","72,816","82,900","1,471,999","726,718","745,281","755,664","340,683","414,981","104,161","50,272","53,889","87,346","47,316","40,030","1,095,843","516,330","579,513","390,897","185,065","205,832","179,556","88,419","91,137","214,568","101,476","113,092","289,309","127,529","161,780","247,319","108,425","138,894","102,040","46,892","55,148","725,262","345,104","380,158","864,974","407,338","457,636","724,927","350,414","374,513","436,423","211,422","225,001","153,563","61,936","91,627","433,938","196,081","237,857","72,039","36,040","35,999","127,732","62,408","65,324","158,733","77,681","81,052","128,800","61,544","67,256","880,766","434,743","446,023","166,346","77,756","88,590","2,051,385","907,339","1,144,046","713,645","327,826","385,819","37,778","19,526","18,252","786,107","372,667","413,440","208,239","99,318","108,921","335,423","164,433","170,990","1,029,524","483,869","545,655","97,687","45,383","52,304","314,398","140,475","173,923","44,323","21,216","23,107","431,100","202,576","228,524","1,689,108","851,665","837,443","186,410","114,401","72,009","64,248","29,822","34,426","892,827","450,518","442,309","611,186","315,589","295,597","102,158","47,356","54,802","369,914","172,778","197,136","34,926","17,443","17,483","165,973","66,062","99,911"
